image,noise_setting,filter,MSE,PSNR_dB,SSIM
smooth,exponential_1,contraharmonic_k5_Q-1,7729.26913368984,9.249419311425953,0.24705087326878658
smooth,exponential_1,median_k5,26443.89471657754,3.9075494147066516,0.146413489194058
smooth,exponential_1,min_k5,441.8202406417112,21.678347530046317,0.45514718850177077
smooth,exponential_1,max_k5,41096.09928342246,1.9927975894512686,0.18768480061721995
smooth,exponential_1,midpoint_k5,10975.604475935828,7.726519127433508,0.2977015094333678
smooth,exponential_1,alpha_trimmed_k5_d2,19295.73576470588,5.276190175842569,0.20172949309571292
smooth,exponential_1,alpha_trimmed_k5_d6,20867.31053475936,4.936138818637723,0.1862322518112906
smooth,exponential_1,adaptive_local_noise_reduction_k5,18535.457764705883,5.450770447278016,0.20852945986512136
smooth,exponential_1,adaptive_median_Smax7,19722.205951871656,5.181248711985869,0.10959295828110435
smooth,exponential_3,arithmetic_mean_k3,5803.626748663101,10.49380887186379,0.25050816699310835
smooth,exponential_3,geometric_mean_k3,3656.2755561497324,12.500414418571026,0.2919662830598216
smooth,exponential_3,harmonic_mean_k3,2311.9388395721926,14.49104019868397,0.3362997373728367
smooth,exponential_3,contraharmonic_k3_Q1,12098.488272727272,7.30349253016631,0.18569992990856757
smooth,exponential_3,contraharmonic_k3_Q-1,2311.9388395721926,14.49104019868397,0.3362997373728367
smooth,exponential_3,median_k3,4663.768074866311,11.443434156671646,0.2013726723038305
smooth,exponential_3,min_k3,274.92614973262033,23.738643109318083,0.5261070089966942
smooth,exponential_3,max_k3,31861.085604278076,3.0981979141424882,0.13092369019918343
smooth,exponential_3,midpoint_k3,8566.47529946524,8.802781938883273,0.2603181945556287
smooth,exponential_3,alpha_trimmed_k3_d2,5259.845550802139,10.921073690752294,0.23638910332572632
smooth,exponential_3,alpha_trimmed_k3_d6,4641.349267379679,11.464361100122675,0.2157950296634849
smooth,exponential_3,adaptive_local_noise_reduction_k3,5901.56328342246,10.42113292372417,0.24469048963669926
smooth,exponential_3,arithmetic_mean_k5,5597.890513368984,10.650559608257783,0.31234785170517104
smooth,exponential_3,geometric_mean_k5,3328.349973262032,12.908513751406465,0.36840033233906255
smooth,exponential_3,harmonic_mean_k5,1936.9249144385026,15.259675753976767,0.4317314604340431
smooth,exponential_3,contraharmonic_k5_Q1,12445.660647058823,7.180624058648891,0.22982915480533386
smooth,exponential_3,contraharmonic_k5_Q-1,1936.9249144385026,15.259675753976767,0.4317314604340431
smooth,exponential_3,median_k5,4007.7246844919787,12.101824813701874,0.2695836958945497
smooth,exponential_3,min_k5,417.1606684491979,21.927770061774325,0.6424917930468708
smooth,exponential_3,max_k5,39324.81394117647,2.1841368435991004,0.16011763446952967
smooth,exponential_3,midpoint_k5,9648.109534759358,8.286381355088645,0.30560541224437154
smooth,exponential_3,alpha_trimmed_k5_d2,5340.102203208557,10.855307918796619,0.30759888983098405
smooth,exponential_3,alpha_trimmed_k5_d6,4821.184994652406,11.299265646648681,0.30236286343147495
smooth,exponential_3,adaptive_local_noise_reduction_k5,5641.593064171123,10.616786041741753,0.3033314810270771
smooth,exponential_3,adaptive_median_Smax7,5836.954796791444,10.468940308574002,0.15343984545265307
smooth,uniform_-0.1_0.1,arithmetic_mean_k3,65.00986631016043,30.00101087934403,0.7884014533263244
smooth,uniform_-0.1_0.1,geometric_mean_k3,178.62522994652406,25.611375599957288,0.549942403115457
smooth,uniform_-0.1_0.1,harmonic_mean_k3,242.4182459893048,24.28515056288458,0.5014164248043331
smooth,uniform_-0.1_0.1,contraharmonic_k3_Q1,177.08885026737968,25.648891425337705,0.7094253842868571
smooth,uniform_-0.1_0.1,contraharmonic_k3_Q-1,242.4182459893048,24.28515056288458,0.5014164248043331
smooth,uniform_-0.1_0.1,median_k3,87.54179679144384,28.708649046246176,0.669639515230671
smooth,uniform_-0.1_0.1,min_k3,684.6468877005348,19.776137226066332,0.38675892507678766
smooth,uniform_-0.1_0.1,max_k3,798.6782834224599,19.10708485021908,0.5920611553440862
smooth,uniform_-0.1_0.1,midpoint_k3,98.05108556149733,28.21627954595283,0.7905649786646555
smooth,uniform_-0.1_0.1,alpha_trimmed_k3_d2,65.81616042780749,29.947478179696354,0.7639373073460956
smooth,uniform_-0.1_0.1,alpha_trimmed_k3_d6,76.12713368983957,29.31540882659002,0.7052968034462562
smooth,uniform_-0.1_0.1,adaptive_local_noise_reduction_k3,62.375641711229946,30.18065334257104,0.7529930304781193
smooth,uniform_-0.1_0.1,arithmetic_mean_k5,107.1057540106952,27.832675579355154,0.788015587778114
smooth,uniform_-0.1_0.1,geometric_mean_k5,324.38004812834225,23.0202622696332,0.4697228143844787
smooth,uniform_-0.1_0.1,harmonic_mean_k5,524.3625080213903,20.93448728844361,0.3911928824670949
smooth,uniform_-0.1_0.1,contraharmonic_k5_Q1,293.45608556149733,23.455372407195505,0.6891000568274886
smooth,uniform_-0.1_0.1,contraharmonic_k5_Q-1,524.3625080213903,20.93448728844361,0.3911928824670949
smooth,uniform_-0.1_0.1,median_k5,92.25480748663102,28.48091353944515,0.7362540790501354
smooth,uniform_-0.1_0.1,min_k5,1278.7972139037433,17.062786794580852,0.27480957995167354
smooth,uniform_-0.1_0.1,max_k5,1576.3266844919785,16.154341333935893,0.5214980853783905
smooth,uniform_-0.1_0.1,midpoint_k5,239.85938502673798,24.331236450053932,0.6995266792674613
smooth,uniform_-0.1_0.1,alpha_trimmed_k5_d2,102.3406844919786,28.03032043501549,0.7890835189800832
smooth,uniform_-0.1_0.1,alpha_trimmed_k5_d6,95.66201069518716,28.32340855912068,0.786315856959021
smooth,uniform_-0.1_0.1,adaptive_local_noise_reduction_k5,61.779636363636364,30.22235013162286,0.7841060205398187
smooth,uniform_-0.1_0.1,adaptive_median_Smax7,133.76223529411766,26.867468432386588,0.5569730085701606
smooth,uniform_-0.3_0.3,arithmetic_mean_k3,279.8894385026738,23.66093849992133,0.4568505912707269
smooth,uniform_-0.3_0.3,geometric_mean_k3,706.7314438502674,19.638259465209707,0.2511524154169253
smooth,uniform_-0.3_0.3,harmonic_mean_k3,891.9861978609625,18.627222264908877,0.21530798746531435
smooth,uniform_-0.3_0.3,contraharmonic_k3_Q1,1449.8593155080214,16.517544975727642,0.3437738722970974
smooth,uniform_-0.3_0.3,contraharmonic_k3_Q-1,891.9861978609625,18.627222264908877,0.21530798746531435
smooth,uniform_-0.3_0.3,median_k3,466.95389304812835,21.438063603517463,0.3179383106274885
smooth,uniform_-0.3_0.3,min_k3,2073.39971657754,14.963973260341525,0.16066593496550072
smooth,uniform_-0.3_0.3,max_k3,4151.859834224599,11.948376774558156,0.29010151085163727
smooth,uniform_-0.3_0.3,midpoint_k3,458.37954545454545,21.51855131259406,0.4962497553059338
smooth,uniform_-0.3_0.3,alpha_trimmed_k3_d2,291.2962994652406,23.48745393343004,0.4221482954643153
smooth,uniform_-0.3_0.3,alpha_trimmed_k3_d6,383.10570588235294,22.297617405612446,0.35576289073242534
smooth,uniform_-0.3_0.3,adaptive_local_noise_reduction_k3,506.8388449197861,21.082104683743047,0.35263728506638214
smooth,uniform_-0.3_0.3,arithmetic_mean_k5,241.910128342246,24.29426308996049,0.5743178174833956
smooth,uniform_-0.3_0.3,geometric_mean_k5,940.6946951871657,18.396316659313538,0.22603780421161712
smooth,uniform_-0.3_0.3,harmonic_mean_k5,1342.4205561497326,16.851917670897468,0.18247695164488942
smooth,uniform_-0.3_0.3,contraharmonic_k5_Q1,1580.360807486631,16.143241101086574,0.4301092890095955
smooth,uniform_-0.3_0.3,contraharmonic_k5_Q-1,1342.4205561497326,16.851917670897468,0.18247695164488942
smooth,uniform_-0.3_0.3,median_k5,280.5973529411765,23.649967911408677,0.4280008038918882
smooth,uniform_-0.3_0.3,min_k5,2892.716705882353,13.517744571530033,0.14069596473400303
smooth,uniform_-0.3_0.3,max_k5,6039.654957219252,10.32068232587185,0.3361516400714986
smooth,uniform_-0.3_0.3,midpoint_k5,708.6158823529412,19.626694788304718,0.5356475649367841
smooth,uniform_-0.3_0.3,alpha_trimmed_k5_d2,226.79967379679144,24.574379352870558,0.5687834704868696
smooth,uniform_-0.3_0.3,alpha_trimmed_k5_d6,210.53443315508022,24.897572255119172,0.5544393805217229
smooth,uniform_-0.3_0.3,adaptive_local_noise_reduction_k5,467.1626417112299,21.436122552468145,0.410685258981435
smooth,uniform_-0.3_0.3,adaptive_median_Smax7,924.5224973262032,18.471628771242063,0.21188498001311326
smooth,salt_pepper_d0.05,arithmetic_mean_k3,198.46773262032085,25.15390452711129,0.5514653266581272
smooth,salt_pepper_d0.05,geometric_mean_k3,1417.7645935828878,16.61476234530823,0.48074871580835726
smooth,salt_pepper_d0.05,harmonic_mean_k3,1780.1221711229946,15.626305515793481,0.4583931322753252
smooth,salt_pepper_d0.05,contraharmonic_k3_Q1,3507.596577540107,12.680707232158914,0.33324928309635354
smooth,salt_pepper_d0.05,contraharmonic_k3_Q-1,1780.1221711229946,15.626305515793481,0.4583931322753252
smooth,salt_pepper_d0.05,median_k3,33.14641176470588,32.92643839745034,0.9259784806493472
smooth,salt_pepper_d0.05,min_k3,1966.485898395722,15.193895244221105,0.41182272785920676
smooth,salt_pepper_d0.05,max_k3,8654.887481283422,8.75818934707955,0.17627608126939326
smooth,salt_pepper_d0.05,midpoint_k3,2258.878679144385,14.591874546013894,0.20270409526687713
smooth,salt_pepper_d0.05,alpha_trimmed_k3_d2,65.70917647058823,29.954543366315942,0.8276107860356184
smooth,salt_pepper_d0.05,alpha_trimmed_k3_d6,33.987577540106955,32.817601494609626,0.9252719594860876
smooth,salt_pepper_d0.05,adaptive_local_noise_reduction_k3,630.5275026737968,20.133763262649662,0.444685942782443
smooth,salt_pepper_d0.05,arithmetic_mean_k5,169.70907486631015,25.83375294867338,0.6355551780866442
smooth,salt_pepper_d0.05,geometric_mean_k5,1644.474946524064,15.970530994488925,0.44499004831573896
smooth,salt_pepper_d0.05,harmonic_mean_k5,4019.8167860962567,12.088741014651955,0.25899004988586355
smooth,salt_pepper_d0.05,contraharmonic_k5_Q1,4106.8553315508025,11.99570956240648,0.28301766058078204
smooth,salt_pepper_d0.05,contraharmonic_k5_Q-1,4019.8167860962567,12.088741014651955,0.25899004988586355
smooth,salt_pepper_d0.05,median_k5,66.65843315508022,29.89225259765722,0.8659137224320667
smooth,salt_pepper_d0.05,min_k5,4303.480727272728,11.792604985082193,0.21137716840523013
smooth,salt_pepper_d0.05,max_k5,19639.515877005346,5.1994958284144595,0.0720816397942894
smooth,salt_pepper_d0.05,midpoint_k5,4607.475689839573,11.496173084138864,0.08412608154628017
smooth,salt_pepper_d0.05,alpha_trimmed_k5_d2,117.60977005347594,27.426369600115702,0.7516644849848586
smooth,salt_pepper_d0.05,alpha_trimmed_k5_d6,86.78676470588235,28.74626862113952,0.8444211731482181
smooth,salt_pepper_d0.05,adaptive_local_noise_reduction_k5,313.06555614973263,23.1744507222566,0.5605603007379959
smooth,salt_pepper_d0.05,adaptive_median_Smax7,12.992566844919786,36.99385400983548,0.9679072546141416
smooth,salt_pepper_d0.15,arithmetic_mean_k3,624.8183262032086,20.173266017588993,0.3170941487110993
smooth,salt_pepper_d0.15,geometric_mean_k3,3486.8540909090907,12.706465863737362,0.2728727219199409
smooth,salt_pepper_d0.15,harmonic_mean_k3,4176.185176470588,11.923006133697896,0.2529157818571055
smooth,salt_pepper_d0.15,contraharmonic_k3_Q1,9723.283497326203,8.252674124060214,0.15955842794933953
smooth,salt_pepper_d0.15,contraharmonic_k3_Q-1,4176.185176470588,11.923006133697896,0.2529157818571055
smooth,salt_pepper_d0.15,median_k3,65.48879144385026,29.96913385007897,0.9019234361501967
smooth,salt_pepper_d0.15,min_k3,4284.685967914438,11.811613636401121,0.2293100099162687
smooth,salt_pepper_d0.15,max_k3,20774.376823529412,4.955523559045012,0.04954159170089056
smooth,salt_pepper_d0.15,midpoint_k3,4999.450534759359,11.1415808509886,0.0672339405377297
smooth,salt_pepper_d0.15,alpha_trimmed_k3_d2,289.82208021390375,23.50948891569313,0.5005221422656608
smooth,salt_pepper_d0.15,alpha_trimmed_k3_d6,72.14824064171123,29.548546157213163,0.868060985011572
smooth,salt_pepper_d0.15,adaptive_local_noise_reduction_k3,1138.6208930481284,17.567012122616394,0.26169016046147103
smooth,salt_pepper_d0.15,arithmetic_mean_k5,433.6468983957219,21.759441163664995,0.4341648048312847
smooth,salt_pepper_d0.15,geometric_mean_k5,4114.927631016043,11.987181591633071,0.2707150603196889
smooth,salt_pepper_d0.15,harmonic_mean_k5,7014.965631016043,9.670548132721198,0.08579436410598669
smooth,salt_pepper_d0.15,contraharmonic_k5_Q1,11245.374930481283,7.621064211029612,0.17046330113290947
smooth,salt_pepper_d0.15,contraharmonic_k5_Q-1,7014.965631016043,9.670548132721198,0.08579436410598669
smooth,salt_pepper_d0.15,median_k5,74.82974331550803,29.39006105379603,0.8590296302461216
smooth,salt_pepper_d0.15,min_k5,7095.108957219251,9.62121291707857,0.07063098644971631
smooth,salt_pepper_d0.15,max_k5,35223.514780748665,2.6624767097080158,0.06444332810890477
smooth,salt_pepper_d0.15,midpoint_k5,7427.446449197861,9.422408315805908,0.06994889261017892
smooth,salt_pepper_d0.15,alpha_trimmed_k5_d2,300.3429946524064,23.354628541643084,0.48741211308487503
smooth,salt_pepper_d0.15,alpha_trimmed_k5_d6,140.96517647058823,26.639685215072696,0.7081846063614613
smooth,salt_pepper_d0.15,adaptive_local_noise_reduction_k5,676.6540588235295,19.827136696463516,0.3781910226146998
smooth,salt_pepper_d0.15,adaptive_median_Smax7,19.308048128342246,35.27341988172706,0.9628950288966237
textured,gaussian_0_0.01,arithmetic_mean_k3,198.17678059895835,25.160275918915712,0.5647468023362422
